uid,uid1,uid2,uid3,uid4,uid5,uid6,uid7,uid8,uid9,uid10
28891,457,37779,12355,245,38000,37510,38524,34599,30654,19
23273,2904,1,1575,2001,199,1535,30276,9253,32281,5114
34599,38000,431,164,11741,33352,20583,30654,4181,457,36456
5114,9253,1575,2904,1535,23273,32281,30276,1,2001,199
31758,31757,12365,44,35557,572,22135,35839,5,7785,34240
37510,38524,38691,245,12355,28891,37779,457,19,7311,17074
199,28851,23273,1,2904,32281,2001,1575,30276,9253,1535
38000,34599,431,11741,164,30654,33352,20583,457,4181,28891
35247,21939,22135,44,28735,36098,34612,5300,31758,31757,801
2904,23273,1,1575,2001,9253,1535,199,32281,5114,30276
32935,17074,7311,38691,37510,38524,30484,32,33674,245,10408
34096,19647,15335,4565,35851,5205,39587,39587,14397,38826,11979
15335,34096,19647,35851,38826,4565,5205,11979,39587,39587,14397
918,11061,19,38000,457,30654,28891,20583,245,4181,34599
4181,28851,1,164,199,2904,23273,2001,20583,1575,32281
15417,35180,5258,10379,11665,4282,5300,24701,801,36098,820
30276,1535,1575,16498,23273,32281,2904,9253,2001,33486,199
16664,5690,1033,35608,3091,30346,37095,38993,19363,4477,186
4672,2154,2159,14807,6171,30370,957,996,1088,25649,18661
8038,32863,36214,1253,1366,31973,569,29755,1505,6768,30745
7588,33263,37033,1462,37525,14175,427,16916,985,15771,2508
1253,36214,32863,8038,1366,6768,31733,31973,569,29755,1505
20767,31764,33502,39597,35972,6033,10521,6351,32380,16870,20057
1425,6505,1092,7645,709,2321,28479,34021,13117,444,32122
35363,27633,38145,20431,24893,4192,949,12893,479,22097,25015
22673,30902,91,82,20517,27947,997,13767,13203,5074,34428
6862,4472,534,570,21185,36106,543,114,15117,22961,22777
5680,18153,28121,11111,1689,14741,226,27775,11887,22199,22043
451,985,2508,36904,28069,16916,34944,12815,658,6774,25649
9563,30952,5485,1472,36369,33221,429,1473,2265,35658,35798
30364,253,37407,37985,33190,35320,3603,35075,2752,34284,34284
33280,1096,12017,7645,35110,38816,7062,13117,1491,19115,10350
36369,30952,35658,1472,9563,33221,10090,5485,429,40269,1211
27633,35363,38145,20431,24893,949,4192,12893,22097,479,10029
31637,30123,32998,6213,34902,35507,31765,28677,5530,7724,28927
38145,27633,35363,20431,24893,10119,35222,4192,10029,949,22097
552,8516,12445,2890,5530,34542,38671,2605,120,34902,6956
1689,11887,5680,18897,18153,17895,27775,11111,28121,10793,35073
8609,40269,24471,40269,35658,36369,7304,2829,10090,5751,5751
34944,33354,9734,658,25649,996,6377,25517,1088,28,2159
36214,1253,32863,8038,1366,31973,6768,569,29755,31733,1505
32863,8038,36214,1253,569,1366,31973,29755,1505,31733,6768
36160,38201,2761,37822,35777,35777,36963,9785,39592,2557,9288
33064,1485,890,2623,34430,6591,398,6438,9930,9930,2150
2265,1473,35798,11237,5485,9563,33221,36796,1472,429,30952
11001,388,1729,37029,1695,1961,16395,3750,19613,32871,5005
39940,3782,34914,3092,30727,31772,1571,21339,317,16904,19111
322,4087,468,19703,19489,93,17909,6007,3572,1254,32370
38958,38262,38333,6154,2753,2762,21867,38917,951,25801,25729
4472,6862,21185,543,570,534,36106,400,114,8142,22961
97,267,10218,10357,12403,32370,20159,7193,597,8408,5781
468,322,4087,19703,19489,93,17909,6007,3572,1254,1562
7645,1096,33280,12017,35110,13117,19115,38816,7062,1491,28479
3604,4886,34745,5310,32547,30311,1520,4080,3014,33899,407
1491,38816,795,6024,7062,12017,33280,35857,1096,35110,7645
19319,9465,5835,9252,32551,4872,9724,23225,11135,30415,2158
1571,3092,19111,30727,317,3782,32380,31772,39940,33253,31704
35222,532,10119,22777,38145,24893,10029,27633,6862,20431,35363
38770,2828,21867,36593,38917,36370,36371,1279,2762,37150,255
269,223,6702,20,1482,17265,3588,29803,10620,15809,14813
30123,32998,31637,35507,31765,7724,6213,28677,21995,34902,35120
32998,30123,35507,31765,31637,7724,21995,28677,35120,6213,31859
202,35860,12413,14349,154,18397,8516,2104,21405,32093,2605
5005,19613,2035,11239,397,32871,1695,29893,15959,35111,34021
18397,20057,12413,14349,16870,35860,2104,202,22265,154,34451
3750,13119,37029,388,1729,11001,36215,3371,2582,4772,4811
33263,7588,37033,427,16916,14175,1462,37525,26213,985,6774
32380,19111,1571,39597,10521,3092,20767,317,31704,31764,6351
35860,202,12413,14349,18397,20057,32093,2104,154,34451,16870
3092,1571,3782,19111,30727,317,39940,32380,31772,14353,33253
38084,29787,9734,80,6377,25517,33354,967,12893,949,187
37033,33263,7588,14175,427,15771,26213,16916,1462,37525,11739
28999,4898,849,9919,11757,22199,934,14741,10620,15809,227
388,1729,11001,37029,3750,1695,16395,1961,4772,19613,13119
9724,11135,19319,2158,8311,9465,5835,8310,32551,517,39071
37985,35075,33190,1824,2752,4447,253,30364,35198,34504,37407
38435,10534,2673,2549,12917,37176,37176,2257,8294,18695,32238
20057,18397,16870,12413,14349,35860,2104,202,2924,6351,22265
1172,4163,779,780,30191,2273,38349,39741,11813,531,31483
397,35111,2321,34021,18429,2035,5005,1092,9996,15959,645
2273,38349,8310,779,34544,85,11135,9724,8311,1172,38619
4080,3014,32547,4985,5310,3604,4886,30311,12117,34745,20815
11887,1689,17895,35073,18897,5680,30240,27775,790,31478,10793
254,36796,2143,1921,4454,9088,11237,2004,28669,2265,1473
11135,9724,2158,19319,8310,8311,9465,5835,32551,517,39071
13119,3750,3371,36215,2582,37029,2623,6438,388,1729,890
29755,1505,569,30745,8038,32863,31973,36214,31733,1253,36702
267,97,12403,8408,597,5781,10218,10357,20159,13331,9926
4872,23225,9465,9252,19319,10083,26123,30415,793,5835,32551
3665,2451,33350,28881,6591,7304,2724,1485,6984,2829,37773
37150,36593,36370,33446,582,2828,34375,978,255,255,3545
6768,1366,1253,36214,8038,32863,35382,995,31973,82,13767
12403,5781,97,267,10012,32370,10218,13331,8408,6007,10357
39597,10521,6351,20767,32380,31764,6033,387,33502,35972,20057
15771,14175,25303,37033,6586,25161,10083,11113,2397,7588,33263
82,13767,22673,91,30902,6768,27947,35382,34439,995,31149
34745,3604,33899,4886,5310,1520,32547,20815,4080,3014,30311
3782,3092,19111,39940,1571,14353,30727,317,9941,31772,32380
253,30364,35320,33190,37985,35075,2752,2563,37407,3603,4053
12413,14349,35860,18397,202,20057,34451,32093,16870,9289,2104
5630,35120,1818,28907,790,7724,35073,9513,1887,8525,31478
38816,7062,1491,35857,35110,12017,1096,33280,795,7222,3016
29787,38084,6377,25517,9734,80,967,12893,187,39565,949
2321,35111,397,34021,18429,645,9996,32122,6505,1092,2035
37822,2761,36160,38201,36963,35777,35777,9785,1910,7303,39592
4447,34504,35198,7044,1824,35075,37985,1505,33190,29755,1089
1505,29755,569,30745,8038,31973,32863,36214,1089,34504,1253
1472,33221,429,9563,36369,30952,2618,5485,35658,1473,2265
9465,4872,19319,23225,30415,9252,26123,5835,2158,793,32551
35507,31765,32998,30123,7724,35120,31339,31637,5630,15689,8525
38349,2273,779,8310,85,34544,11135,9724,8311,1172,2158
17949,35678,24921,6115,1007,10643,14735,2448,7222,33899,31289
12445,2890,2605,552,8516,24,29095,17549,36563,31637,5530
1254,3572,17909,4087,22,322,468,6007,93,1594,10012
35073,790,17895,11887,30240,31478,1818,28907,1689,5630,18897
597,9926,4280,267,8408,29093,97,20159,34914,30885,39940
569,1505,29755,30745,31973,8038,32863,36214,1253,1366,1089
19111,3092,1571,3782,32380,14353,9941,30727,317,39597,10521
14349,12413,35860,18397,202,20057,34451,32093,9289,10721,16870
4898,28999,849,9919,22199,11757,934,14741,227,10620,23289
249,790,17895,35073,9513,11887,1818,30240,31478,18897,1689
12893,949,187,22097,30279,27633,35363,31098,10029,38145,29787
8142,400,543,468,17909,1594,3572,1254,322,1562,4087
532,35222,22777,10029,10119,38145,114,22961,6862,21185,4106
21185,114,4472,543,22961,6862,4106,400,21877,2952,534
890,2623,6438,33064,1485,5029,3371,1471,34430,13119,2582
543,400,4472,21185,8142,114,2952,22961,6862,21877,4106
949,12893,22097,187,30279,10029,27633,31098,35363,38145,29787
34504,4447,35198,7044,1505,1089,29755,1824,30745,569,35075
1729,388,11001,16395,1695,37029,3750,4772,21469,29893,1961
8310,38349,2273,85,779,11135,9724,34544,2158,34100,8311
35075,33190,37985,2752,1824,4447,34504,253,35198,4053,2563
35678,17949,24921,6115,7222,1007,2448,1065,10643,14735,33970
15809,10620,17265,9919,889,30015,29803,28999,33206,4898,23289
35111,2321,397,18429,34021,645,9996,2035,32122,6505,1092
7304,2829,24471,2451,3665,28881,33350,8609,6591,2547,2724
1366,6768,31973,8038,36214,1253,32863,995,35382,569,30745
23225,4872,26123,9465,30415,793,19319,9252,10083,6586,25161
17909,3572,6007,10012,468,322,4087,1594,1254,12113,93
10521,6351,39597,387,20767,32380,6033,31764,20057,19111,7711
22319,23755,2167,20507,30831,2025,18679,12189,24833,3588,23283
400,8142,543,4472,1594,2952,21185,3572,17909,1254,468
9088,2143,37873,3907,1375,2004,28669,254,1921,23249,17739
33190,35075,37985,2752,253,1824,4447,4053,2563,30364,34504
20,6702,3588,22319,2025,12189,23755,2167,7054,23283,24833
33221,429,1472,2618,9563,30952,36369,5485,2265,9204,1473
22097,949,187,12893,31098,10029,30279,27633,35363,38145,24997
3014,4985,4080,20815,32547,3604,5310,4886,34745,30311,12117
2890,2605,12445,24,29095,17549,36563,552,8516,32093,9289
6702,3588,20,7054,29803,14813,17265,12189,14513,2025,23283
2035,11239,5005,397,35111,18429,29893,2321,19613,9996,34021
6351,10521,39597,387,20767,20057,2924,7338,32380,6033,18397
6377,25517,39565,29787,9734,38084,967,996,2154,33354,25649
1485,33064,6591,2150,890,2623,3665,6438,33350,1471,5029
4163,1172,780,11813,20371,779,781,1453,2951,1379,1470
2143,9088,254,2004,1921,28669,3907,37873,1375,36796,39112
6007,17909,3572,10012,12113,1594,4087,322,37786,468,12403
25517,6377,39565,29787,9734,38084,967,996,2154,33354,25649
27947,1470,11813,780,36885,31149,2951,22673,20517,1363,1379
1695,29893,16395,1729,11001,11239,388,5005,2076,19613,2035
187,22097,949,12893,30279,31098,10029,24997,27633,35363,29787
14175,15771,37033,33263,7588,427,8740,6586,11113,25161,81
24471,2829,8609,7304,40269,35658,40269,36369,2451,28881,3665
35110,7062,1096,33280,38816,7645,12017,35857,1491,3016,32005
35120,5630,31339,15689,35507,33489,31765,9513,7724,35968,339
779,38349,85,2273,8310,34544,1172,11135,4163,34100,9724
10012,6007,12113,37786,17909,5781,3572,13331,12403,5678,416
2605,2890,29095,17549,24,12445,36563,32093,9289,66,552
31973,1366,30745,8038,569,32863,36214,1505,29755,1253,6768
4985,3014,4080,20815,32547,35320,3604,12117,5310,4886,30311
3572,17909,6007,1594,10012,1254,12113,468,4087,322,37786
4280,9926,597,29093,30885,14353,39940,3782,18179,34914,9941
429,33221,1472,2618,9563,36369,30952,9204,5485,2265,1473
5781,13331,8408,12403,37786,10012,267,31251,12113,416,97
10029,22097,31098,949,187,38145,12893,532,27633,30279,35222
38250,38436,38491,217,3427,3303,3795,38513,3254,37169,6328
16916,6774,12815,11739,401,451,427,26213,33263,27663,18661
7062,35857,38816,35110,1491,3016,1096,33280,12017,7222,33970
2623,6438,890,5029,3371,1471,33064,36215,13119,1485,2150
790,35073,339,9513,28297,5630,17895,11887,1818,30240,31478
8408,5781,13331,267,31251,597,9926,29093,12403,37786,97
780,11813,4163,1470,2951,27947,36885,20371,1172,1453,1363
24921,17949,10643,35678,2448,33899,34745,1065,6115,7222,3604
658,25649,1088,28,996,2159,957,18661,14807,2154,4672
2158,11135,9724,34100,30415,9465,34438,19319,1023,23225,8310
22,1254,15,3572,10012,17909,6007,5678,37786,12113,1594
9926,4280,29093,597,30885,8408,37435,267,18179,4789,34914
26123,793,23225,30415,25161,6586,4872,39468,77,11113,9465
30745,569,1505,31973,29755,1089,8038,7720,32863,1366,36214
13767,82,35382,22673,995,31149,91,30902,6768,27947,37514
2762,38917,21867,38958,6154,38333,38262,36371,38770,951,2753
33899,10643,34745,20815,24921,3604,25313,2448,4886,3014,5310
967,122,29787,25517,6377,38084,30279,39565,187,12893,949
30415,23225,793,26123,9465,4872,2158,39468,1023,8063,19319
11239,2035,29893,5005,851,589,1695,19613,397,35111,18429
22043,14741,18153,934,849,4898,28121,27775,5680,227,28999
6505,32122,645,18429,2321,9996,35111,1425,397,34021,7645
32093,9289,34451,10721,29095,17549,66,2605,24,31741,14349
6582,29829,29831,1376,29830,2313,37370,2454,7305,1910,7471
114,22961,4106,21185,21877,543,2952,4472,6862,12031,153
85,779,8310,38349,2273,34100,11135,2158,34438,34544,9724
25649,658,996,2159,1088,957,28,2154,4672,14807,18661
996,25649,2159,658,1088,28,957,2154,4672,39565,25517
6586,25161,11113,77,26123,793,39468,81,23225,8740,535
3588,14813,7054,12189,29803,23283,6702,2025,14513,17265,22319
12815,6774,16916,401,11739,18661,27663,451,957,15059,1088
24,17549,29095,2605,36563,2890,66,31741,9289,32093,12445
17549,29095,24,2605,36563,2890,66,32093,9289,31741,5682
18429,645,35111,9996,2321,397,32122,2035,6505,34021,11239
34451,10721,32093,9289,73,861,14349,66,29095,17549,1530
13331,5781,37786,31251,8408,12113,416,10012,4814,5678,12403
9289,32093,34451,10721,29095,17549,66,24,2605,861,31741
36370,37150,36593,2828,38770,34375,33446,36371,582,255,255
3371,36215,13119,6438,2623,5029,3750,890,1471,2582,4772
22961,114,4106,21877,21185,2952,543,12031,153,7465,4472
1470,27947,36885,11813,31149,2951,780,1363,20371,1257,1453
39565,25517,6377,2154,996,4672,25649,29787,967,2159,9734
9513,339,28297,790,33489,5630,35073,35120,15689,37675,32995
28,1088,957,2159,658,25649,996,18661,14807,4672,2154
38917,2762,21867,36371,6154,38958,38770,38333,38262,2828,951
793,26123,30415,39468,25161,23225,6586,77,8063,11113,4872
9941,14353,7711,19111,18179,25879,3782,15039,3092,21647,1571
11813,780,2951,36885,1470,20371,4163,27947,1363,1453,1486
27775,14075,5680,1689,32615,11887,18153,22043,14741,28121,32995
40179,23983,28071,38347,26117,35158,24985,25363,39231,17603,30298
7222,33970,3016,35857,35678,1065,7062,38816,17949,6115,1491
1088,957,2159,28,25649,658,996,14807,18661,4672,2154
35857,7062,3016,38816,33970,7222,35110,32005,1491,1096,33280
387,6351,10521,21647,7711,16001,28725,39597,7338,15039,31173
1594,3572,10049,17909,6007,12113,10012,5678,1254,31174,37786
2924,7338,73,268,34451,10721,1530,14349,861,20057,33926
35320,253,2563,1974,4053,2752,30364,4985,33190,35075,37985
12113,37786,416,5678,10012,4814,13331,6007,5781,846,31251
34375,3907,17739,34376,1375,37873,9088,582,37150,23249,2004
30279,31098,24997,187,22097,31490,122,949,12893,10029,967
37786,12113,416,5678,13331,4814,31251,10012,5781,846,6007
31098,30279,24997,31490,187,22097,10029,949,12893,122,27633
2618,429,9204,33221,1472,9563,2265,1473,36369,30952,5485
20815,3014,33899,4985,34745,4080,25313,3604,10643,21419,4886
957,1088,2159,28,25649,658,996,18661,14807,4672,2154
2159,1088,957,25649,28,996,658,14807,4672,18661,2154
36215,3371,13119,3750,6438,4772,5029,21469,2623,1729,1471
25161,11113,77,6586,793,26123,39468,81,535,8740,8063
10721,34451,9289,32093,861,1530,66,73,33926,4059,36896
36563,24,17549,29095,31741,5682,21855,66,2605,27989,2890
6774,401,11739,12815,16916,27663,26213,15059,427,18661,37989
427,26213,11739,16916,6774,33263,401,37033,12815,27663,14175
2829,24471,7304,8609,3665,2451,28881,33350,40269,35658,40269
29093,30885,9926,37435,4280,4789,8408,597,18179,3167,31251
10643,33899,24921,2448,34745,25313,20815,17949,21419,35678,3604
31339,15689,35968,33489,35120,1943,23199,35507,9513,10080,339
73,2924,268,7338,1530,10721,34451,861,33926,9289,32093
6438,5029,2623,1471,890,3371,36215,13119,2150,33064,1485
